iter	Passed	Remaining
0	95	38286
1	97	19371
2	104	13855
3	108	10772
4	109	8654
5	110	7266
6	112	6311
7	113	5579
8	115	5013
9	116	4553
10	118	4180
11	119	3850
12	120	3586
13	121	3359
14	123	3165
15	124	2994
16	126	2846
17	127	2711
18	129	2591
19	130	2481
20	131	2375
21	133	2285
22	134	2203
23	135	2119
24	136	2052
25	137	1984
26	139	1927
27	140	1863
28	141	1804
29	142	1754
30	143	1707
31	144	1665
32	147	1635
33	148	1596
34	149	1560
35	150	1526
36	152	1493
37	153	1462
38	154	1433
39	156	1405
40	157	1377
41	158	1352
42	160	1328
43	161	1305
44	162	1281
45	163	1260
46	165	1240
47	166	1221
48	167	1203
49	169	1184
50	170	1164
51	171	1145
52	172	1129
53	173	1109
54	174	1095
55	176	1081
56	176	1064
57	178	1051
58	179	1038
59	180	1024
60	182	1012
61	183	1000
62	184	988
63	186	977
64	187	967
65	188	955
66	190	945
67	192	937
68	193	928
69	194	918
70	196	908
71	197	899
72	198	889
73	199	878
74	200	869
75	201	861
76	203	852
77	204	843
78	205	834
79	206	826
80	208	819
81	209	811
82	210	803
83	211	796
84	212	788
85	214	781
86	215	775
87	216	768
88	218	762
89	219	755
90	220	749
91	221	741
92	222	735
93	224	729
94	225	723
95	226	717
96	227	712
97	229	706
98	230	701
99	231	695
100	233	690
101	234	685
102	235	680
103	237	675
104	238	670
105	240	665
106	241	661
107	242	656
108	244	651
109	245	646
110	246	642
111	247	637
112	249	633
113	250	628
114	251	624
115	253	620
116	254	616
117	256	612
118	257	607
119	258	603
120	260	599
121	261	595
122	262	591
123	263	587
124	265	583
125	266	579
126	267	575
127	269	572
128	270	568
129	272	565
130	273	561
131	274	557
132	276	554
133	277	550
134	278	547
135	279	543
136	281	539
137	282	536
138	284	533
139	285	530
140	286	526
141	288	523
142	289	520
143	290	516
144	291	513
145	293	510
146	294	506
147	296	504
148	297	500
149	298	498
150	300	494
151	301	491
152	302	488
153	304	486
154	305	483
155	307	480
156	308	477
157	309	474
158	311	471
159	312	468
160	313	465
161	315	463
162	316	460
163	317	457
164	319	455
165	320	452
166	322	449
167	323	446
168	324	443
169	325	440
170	327	438
171	328	435
172	329	432
173	331	429
174	332	427
175	333	424
176	334	421
177	336	419
178	337	416
179	338	413
180	339	411
181	341	408
182	342	405
183	343	403
184	345	401
185	346	398
186	347	396
187	349	393
188	350	391
189	351	388
190	352	386
191	354	383
192	355	381
193	356	378
194	358	376
195	359	373
196	360	371
197	361	369
198	363	366
199	364	364
200	365	361
201	366	359
202	368	357
203	369	354
204	370	352
205	371	350
206	373	347
207	374	345
208	376	343
209	377	341
210	378	339
211	380	337
212	381	335
213	383	332
214	384	330
215	385	328
216	387	326
217	389	324
218	390	322
219	391	320
220	392	318
221	394	316
222	395	313
223	397	312
224	398	310
225	399	307
226	401	305
227	402	303
228	404	301
229	405	299
230	407	298
231	408	295
232	410	293
233	411	291
234	412	289
235	414	287
236	415	285
237	416	283
238	418	281
239	419	279
240	420	277
241	422	275
242	423	273
243	424	271
244	426	269
245	427	267
246	428	265
247	430	263
248	431	261
249	433	259
250	434	257
251	435	255
252	437	254
253	438	252
254	440	250
255	441	248
256	442	246
257	444	244
258	445	242
259	446	240
260	448	238
261	449	236
262	451	235
263	452	233
264	453	231
265	455	229
266	456	227
267	457	225
268	459	223
269	460	221
270	461	219
271	463	218
272	464	216
273	466	214
274	467	212
275	468	210
276	470	208
277	471	206
278	472	205
279	474	203
280	475	201
281	476	199
282	478	197
283	479	195
284	480	194
285	482	192
286	483	190
287	484	188
288	486	186
289	487	184
290	488	183
291	490	181
292	491	179
293	492	177
294	494	175
295	496	174
296	497	172
297	498	170
298	499	168
299	501	167
300	502	165
301	504	163
302	505	161
303	507	160
304	508	158
305	509	156
306	511	154
307	512	153
308	514	151
309	515	149
310	517	147
311	518	146
312	519	144
313	521	142
314	522	140
315	523	139
316	525	137
317	526	135
318	527	134
319	529	132
320	530	130
321	532	128
322	533	127
323	534	125
324	536	123
325	537	121
326	538	120
327	539	118
328	541	116
329	543	115
330	544	113
331	546	111
332	547	110
333	548	108
334	549	106
335	551	105
336	552	103
337	554	101
338	555	99
339	556	98
340	558	96
341	559	94
342	560	93
343	562	91
344	563	89
345	565	88
346	566	86
347	567	84
348	569	83
349	570	81
350	571	79
351	573	78
352	574	76
353	575	74
354	577	73
355	579	71
356	580	69
357	581	68
358	583	66
359	584	64
360	586	63
361	587	61
362	588	60
363	590	58
364	591	56
365	592	55
366	594	53
367	596	51
368	597	50
369	599	48
370	600	46
371	602	45
372	603	43
373	604	42
374	606	40
375	607	38
376	609	37
377	611	35
378	613	33
379	614	32
380	616	30
381	617	29
382	619	27
383	620	25
384	621	24
385	623	22
386	624	20
387	626	19
388	627	17
389	629	16
390	630	14
391	631	12
392	633	11
393	634	9
394	636	8
395	637	6
396	638	4
397	640	3
398	641	1
399	643	0
